agent,phase,accuracy,answer_stability,correct_to_incorrect_flip_rate,incorrect_to_correct_flip_rate
M,base,0.47619047619047616,,,
M,d1,0.5714285714285714,0.6190476190476191,0.047619047619047616,0.14285714285714285
M,d2,0.6190476190476191,0.6190476190476191,0.047619047619047616,0.09523809523809523
M,d3,0.6666666666666666,0.9523809523809523,0.0,0.047619047619047616
M,d4,0.6666666666666666,0.7619047619047619,0.09523809523809523,0.09523809523809523
M,d5,0.6190476190476191,0.8095238095238095,0.09523809523809523,0.047619047619047616
P,base,0.09523809523809523,,,
P,d1,0.38095238095238093,0.14285714285714285,0.047619047619047616,0.3333333333333333
P,d2,0.47619047619047616,0.6190476190476191,0.0,0.09523809523809523
P,d3,0.38095238095238093,0.7619047619047619,0.14285714285714285,0.047619047619047616
P,d4,0.6190476190476191,0.5238095238095238,0.047619047619047616,0.2857142857142857
P,d5,0.42857142857142855,0.6666666666666666,0.23809523809523808,0.047619047619047616
Q,base,0.42857142857142855,,,
Q,d1,0.3333333333333333,0.8571428571428571,0.09523809523809523,0.0
Q,d2,0.3333333333333333,0.7619047619047619,0.047619047619047616,0.047619047619047616
Q,d3,0.2857142857142857,0.8571428571428571,0.047619047619047616,0.0
Q,d4,0.42857142857142855,0.8095238095238095,0.0,0.14285714285714285
Q,d5,0.42857142857142855,0.9523809523809523,0.0,0.0
